,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
122,2017,306,21,Moderate,No,No-Till,0 to 15,3,2018-07-09 00:00:00,3.52,0.24,,,4.6,6.8
123,2017,306,21,Moderate,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.62,0.14,,,2.6,6.9
124,2017,306,21,Moderate,No,No-Till,90 to 120,3,2018-07-09 00:00:00,0.63,0.08,0.06,0.57,1.5,7.5
125,2017,308,20,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.8,0.19,,,2.9,6.6
126,2017,308,20,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,2.62,0.05,2.32,0.3,0.8,8.2
127,2017,308,20,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.59,0.22,,,3.3,6.7
128,2017,308,20,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,0.87,0.07,,,1.5,7.1
129,2017,308,20,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.4,0.03,2.37,0.03,0.6,8.2
130,2017,309,9,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.94,0.16,,,3.0,6.2
131,2017,309,9,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,2.37,0.05,2.19,0.18,0.7,8.2
132,2017,309,9,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.29,0.23,,,2.9,6.1
133,2017,309,9,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.39,0.12,,,1.7,7.4
134,2017,309,9,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.12,0.03,2.26,-0.14,0.6,8.1
135,2017,310,8,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.74,0.25,,,4.0,5.8
136,2017,310,8,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,1.25,0.06,0.83,0.42,1.2,7.9
137,2017,310,8,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.37,0.21,,,3.1,6.7
138,2017,310,8,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.06,0.09,,,1.7,6.7
139,2017,310,8,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.12,0.04,1.9,0.22,0.6,8.2
140,2017,313,11,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.4,0.24,,,3.3,5.4
141,2017,313,11,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,0.43,0.08,,,1.2,7.0
142,2017,313,11,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.36,0.23,,,3.0,6.8
143,2017,313,11,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.03,0.11,,,1.9,6.2
144,2017,313,11,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,1.99,0.04,2.01,-0.02,0.6,8.2
145,2017,314,12,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.55,0.14,,,2.3,6.2
146,2017,314,12,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,1.67,0.04,1.54,0.13,0.7,8.2
147,2017,314,12,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.23,0.2,,,2.6,7.0
148,2017,314,12,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,0.71,0.08,,,1.5,6.5
149,2017,314,12,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.17,0.03,2.12,0.05,0.5,8.3
150,2017,316,7,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.07,0.17,,,3.0,5.4
151,2017,316,7,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,0.51,0.05,0.22,0.29,1.1,7.6
152,2017,316,7,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.58,0.21,,,3.3,6.0
153,2017,316,7,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.22,0.12,,,2.1,5.9
154,2017,316,7,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,1.37,0.04,0.96,0.41,0.7,8.1
155,2017,317,10,Moderate,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.23,0.17,,,2.4,6.6
156,2017,317,10,Moderate,No,No-Till,60 to 90,3,2018-07-09 00:00:00,0.42,0.05,0.09,0.33,1.2,7.3
157,2017,317,10,Moderate,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.42,0.2,,,3.3,6.4
158,2017,317,10,Moderate,No,No-Till,30 to 60,3,2018-07-09 00:00:00,0.93,0.09,,,1.8,6.1
159,2017,317,10,Moderate,No,No-Till,90 to 120,3,2018-07-09 00:00:00,0.14,0.04,0.05,0.09,0.7,7.3
160,2017,318,2,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.79,0.14,,,2.9,6.3
161,2017,318,2,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,0.25,0.05,< 0.03,0.24,0.9,7.3
162,2017,318,2,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.53,0.2,,,3.4,6.9
163,2017,318,2,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,0.96,0.09,,,2.1,6.5
164,2017,318,2,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,0.14,0.05,0.04,0.1,0.7,7.5
165,2017,401,9,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.88,0.16,,,2.9,6.5
166,2017,401,9,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,0.83,0.08,0.05,0.78,1.9,7.2
167,2017,401,9,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,1.86,0.17,,,2.8,6.9
168,2017,401,9,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.43,0.06,,,1.1,7.1
169,2017,401,9,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,1.81,0.03,2.09,-0.28,0.6,8.2
170,2017,404,11,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.29,0.18,,,3.9,6.3
171,2017,404,11,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,2.17,0.17,,,3.6,6.5
172,2017,404,11,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.34,0.18,,,3.6,6.8
173,2017,404,11,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.48,0.12,,,2.8,6.8
174,2017,404,11,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,1.33,0.03,1.29,0.04,0.6,8.3
175,2017,408,7,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.81,0.22,,,4.0,6.5
176,2017,408,7,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,0.69,0.07,,,1.9,7.4
177,2017,408,7,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,1.8,0.16,,,2.5,6.8
178,2017,408,7,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.77,0.07,,,1.4,6.7
179,2017,408,7,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,2.09,0.04,2.3,-0.21,0.6,8.3
180,2017,409,19,Moderate,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.41,0.18,,,4.0,6.4
181,2017,409,19,Moderate,No,No-Till,60 to 90,4,2018-07-09 00:00:00,1.15,0.05,0.91,0.24,1.0,8.0
182,2017,409,19,Moderate,No,No-Till,0 to 15,4,2018-07-09 00:00:00,1.63,0.17,,,2.2,6.2
183,2017,409,19,Moderate,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.42,0.06,0.09,0.33,1.1,7.2
184,2017,409,19,Moderate,No,No-Till,90 to 120,4,2018-07-09 00:00:00,1.18,0.03,1.12,0.06,0.4,8.4
185,2017,410,10,Moderate,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.13,0.18,,,3.6,6.6
186,2017,410,10,Moderate,No,No-Till,60 to 90,4,2018-07-09 00:00:00,0.76,0.06,0.43,0.33,1.2,7.7
187,2017,410,10,Moderate,No,No-Till,0 to 15,4,2018-07-09 00:00:00,1.68,0.16,,,3.0,6.5
188,2017,410,10,Moderate,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.57,0.07,,,1.3,6.8
189,2017,410,10,Moderate,No,No-Till,90 to 120,4,2018-07-09 00:00:00,2.14,0.04,2.17,-0.03,0.6,8.3
190,2017,412,21,Moderate,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.71,0.15,,,2.9,7.4
191,2017,412,21,Moderate,No,No-Till,60 to 90,4,2018-07-09 00:00:00,2.06,0.05,2.28,-0.22,0.9,8.2
192,2017,412,21,Moderate,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.36,0.21,,,3.8,6.3
193,2017,412,21,Moderate,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.84,0.09,,,1.8,6.3
194,2017,412,21,Moderate,No,No-Till,90 to 120,4,2018-07-09 00:00:00,1.83,0.02,2.08,-0.25,0.6,8.3
195,2017,415,8,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.54,0.18,,,3.6,5.9
196,2017,415,8,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,0.51,0.07,,,20.6,6.8
197,2017,415,8,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.41,0.19,,,3.6,6.4
198,2017,415,8,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.69,0.14,,,2.6,6.0
199,2017,415,8,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,0.24,0.05,0.12,0.12,0.7,7.2
200,2017,416,20,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.81,0.15,< 0.03,1.79,3.0,6.9
201,2017,416,20,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,1.18,0.05,1.02,0.16,0.9,8.1
202,2017,416,20,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.35,0.19,,,3.5,6.7
203,2017,416,20,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.93,0.09,,,1.9,6.6
204,2017,416,20,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,2.37,0.04,2.24,0.13,0.6,8.3
205,2017,417,22,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.68,0.15,,,2.4,7.5
206,2017,417,22,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,0.85,0.05,0.59,0.26,0.9,8.1
207,2017,417,22,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.63,0.23,,,2.9,7.3
208,2017,417,22,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.27,0.12,,,1.9,7.4
209,2017,417,22,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,2.19,0.05,2.13,0.06,0.6,8.3
210,2017,421,12,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.26,0.11,,,2.2,5.8
211,2017,421,12,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,2.03,0.05,1.89,0.14,0.8,8.2
212,2017,421,12,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,3.06,0.24,,,4.1,6.6
213,2017,421,12,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.33,0.11,,,2.3,7.0
214,2017,421,12,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,0.99,0.05,0.69,0.3,0.9,8.1
215,2017,422,2,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.17,0.11,0.14,1.03,1.8,7.8
216,2017,422,2,High,No,No-Till,60 to 90,4,2018-07-09 00:00:00,2.16,0.05,2.12,0.04,0.6,8.3
217,2017,422,2,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,3.42,0.26,,,4.7,7.0
218,2017,422,2,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.52,0.14,,,2.5,7.2
219,2017,422,2,High,No,No-Till,90 to 120,4,2018-07-09 00:00:00,1.6913951345822,0.106738164815897,,,1.0,8.2
